Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
angiotensin_parent,models_cellml/cardiovascular_circulation/angiotensin_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,4,2
guyton_antidiuretic_hormone_2008,models_cellml/cardiovascular_circulation/guyton_antidiuretic_hormone_2008.cellml,cardiovascular_circulation,11,1,10,1,0,0,0,41,23
antidiuretic_hormone_parent,models_cellml/cardiovascular_circulation/antidiuretic_hormone_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,6,3
guyton_atrial_natriuretic_peptide_2008,models_cellml/cardiovascular_circulation/guyton_atrial_natriuretic_peptide_2008.cellml,cardiovascular_circulation,7,1,6,1,0,0,0,25,14
atr_natriuretic_peptide_parent,models_cellml/cardiovascular_circulation/atr_natriuretic_peptide_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,6,3
guyton_autonomics_2008,models_cellml/cardiovascular_circulation/guyton_autonomics_2008.cellml,cardiovascular_circulation,25,2,23,2,0,0,0,100,57
autonomics_parent,models_cellml/cardiovascular_circulation/autonomics_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,12,6
guyton_capillary_dynamics_2008,models_cellml/cardiovascular_circulation/guyton_capillary_dynamics_2008.cellml,cardiovascular_circulation,33,4,29,4,0,0,0,129,58
cap_dynamics_parent,models_cellml/cardiovascular_circulation/cap_dynamics_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,16,8
Guyton_Model_1-0,models_cellml/cardiovascular_circulation/Guyton_Model_1-0.cellml,cardiovascular_circulation,372,43,329,43,0,0,0,1436,579
guyton_circulatory_dynamics_2008,models_cellml/cardiovascular_circulation/guyton_circulatory_dynamics_2008.cellml,cardiovascular_circulation,72,5,67,5,0,0,0,246,113
circulation_parent,models_cellml/cardiovascular_circulation/circulation_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,53,26
guyton_electrolytes_2008,models_cellml/cardiovascular_circulation/guyton_electrolytes_2008.cellml,cardiovascular_circulation,15,4,11,4,0,0,0,53,27
electrolytes_parent,models_cellml/cardiovascular_circulation/electrolytes_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,14,7
guyton_heart_hypertrophy_or_deterioration_2008,models_cellml/cardiovascular_circulation/guyton_heart_hypertrophy_or_deterioration_2008.cellml,cardiovascular_circulation,5,3,2,3,0,0,0,28,14
hypertrophy_or_deterioration_parent,models_cellml/cardiovascular_circulation/hypertrophy_or_deterioration_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,10,5
guyton_heart_rate_and_stroke_volume_2008,models_cellml/cardiovascular_circulation/guyton_heart_rate_and_stroke_volume_2008.cellml,cardiovascular_circulation,5,0,5,0,0,0,0,18,10
HR_and_SV_parent,models_cellml/cardiovascular_circulation/HR_and_SV_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,8,4
guyton_kidney_2008,models_cellml/cardiovascular_circulation/guyton_kidney_2008.cellml,cardiovascular_circulation,70,4,66,4,0,0,0,266,133
kidney_parent,models_cellml/cardiovascular_circulation/kidney_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,30,15
guyton_muscle_blood_flow_control_2008,models_cellml/cardiovascular_circulation/guyton_muscle_blood_flow_control_2008.cellml,cardiovascular_circulation,7,2,5,2,0,0,0,29,14
M_blood_flow_parent,models_cellml/cardiovascular_circulation/M_blood_flow_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,4,2
guyton_muscle_oxygen_delivery_2008,models_cellml/cardiovascular_circulation/guyton_muscle_oxygen_delivery_2008.cellml,cardiovascular_circulation,10,1,9,1,0,0,0,43,20
M_O2_delivery_parent,models_cellml/cardiovascular_circulation/M_O2_delivery_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,10,5
guyton_non_muscle_blood_flow_control_2008,models_cellml/cardiovascular_circulation/guyton_non_muscle_blood_flow_control_2008.cellml,cardiovascular_circulation,12,3,9,3,0,0,0,45,22
NM_blood_flow_parent,models_cellml/cardiovascular_circulation/NM_blood_flow_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,4,2
guyton_non_muscle_oxygen_delivery_2008,models_cellml/cardiovascular_circulation/guyton_non_muscle_oxygen_delivery_2008.cellml,cardiovascular_circulation,11,1,10,1,0,0,0,35,17
NM_O2_Delivery_parent,models_cellml/cardiovascular_circulation/NM_O2_Delivery_parent.cellml,cardiovascular_circulation,0,0,0,0,0,0,0,10,5
